index,totalseconds,Gender,Age,Edu,Marriage,ASC1,ASC2,ASC3,ASC4,ASC5,T1,OSC1,OSC2,OSC3,OSC4,OSC5,OSC6,RD1,RD2,RD3,RD4,RD5,T2,POS1,POS2,POS3,POS4,POS5,LS1,LS2,LS3,LS4,LS5,DI1,DI2,DI3,T3,DC1,DC2,DC3,UI1,UI2,UI3,UC1,UC2,UC3,SCD,USC,DSC,totalvalue
173,239,2,29,4,2,4,5,5,6,6,7,4,5,5,6,5,6,3,5,3,5,3,1,4,4,5,4,3,6,5,5,5,4,3,3,2,7,5,6,5,5,5,6,3,2,2,6,5,3,197
175,191,2,25,4,2,6,5,7,6,3,7,3,6,5,3,6,7,3,6,4,3,7,1,3,4,6,5,3,6,3,7,5,3,6,4,7,7,3,5,7,3,5,6,3,7,4,4,7,3,214
176,255,2,20,4,1,4,4,5,3,3,7,5,5,5,4,6,3,4,3,4,2,4,1,1,1,2,4,3,4,1,2,2,2,4,4,4,7,4,4,4,3,3,3,4,4,4,6,5,3,160
178,192,2,23,4,1,5,6,7,6,2,7,6,7,5,6,7,5,5,5,3,4,2,1,4,4,4,4,2,5,6,5,5,6,4,4,4,7,3,2,3,6,6,7,3,2,2,6,6,2,201
179,221,2,24,4,1,6,7,6,6,2,7,6,7,5,6,7,4,5,2,6,4,6,1,3,2,4,5,4,5,5,6,3,2,3,2,3,7,5,6,6,4,4,5,6,7,6,5,6,5,212
180,228,2,21,4,1,1,2,4,2,6,7,2,4,4,3,5,2,4,3,2,2,3,1,1,2,4,5,4,4,3,3,3,2,1,1,3,7,5,5,6,5,4,4,6,5,5,5,4,2,156
181,354,2,28,4,2,5,6,5,5,2,7,5,6,5,5,6,4,6,6,5,6,5,1,5,6,5,6,5,5,6,5,6,5,6,5,6,7,5,6,5,6,5,6,5,6,5,6,7,6,236
182,595,2,32,4,2,6,7,7,6,7,7,4,3,6,4,4,5,6,1,7,3,1,1,7,6,7,6,6,7,6,7,6,7,1,1,1,7,7,3,7,7,7,7,7,7,7,1,1,1,222
183,195,1,34,4,2,5,6,6,5,2,7,6,5,6,6,5,2,4,5,3,6,2,1,6,5,5,5,6,6,5,6,6,2,5,5,5,7,5,5,5,6,6,6,6,6,6,5,6,2,220
184,227,2,26,4,2,1,1,1,1,7,7,1,2,2,2,2,7,2,1,1,2,2,1,1,2,2,3,3,6,6,7,7,4,1,1,1,7,1,1,1,5,5,5,2,2,1,6,4,1,128
185,250,1,26,4,2,6,5,7,3,2,7,4,3,6,7,5,1,6,5,4,3,5,1,2,1,3,2,1,1,2,4,2,6,5,6,7,7,5,3,6,3,2,1,4,2,1,6,6,7,175
186,250,1,35,4,2,3,4,5,3,5,7,3,5,4,4,3,4,5,3,4,1,5,1,1,1,2,6,1,6,1,2,1,1,3,3,3,7,2,2,2,4,4,4,4,5,5,7,4,2,152
187,613,1,29,4,1,4,6,6,2,5,7,7,7,3,2,6,4,4,2,1,2,1,1,1,3,4,4,2,3,2,4,5,1,5,5,4,7,4,4,3,6,5,7,2,3,4,6,5,2,171
188,298,2,25,3,2,2,3,4,6,7,7,1,5,6,5,6,7,2,3,1,4,2,1,3,1,4,2,5,6,5,7,6,6,2,1,2,7,4,5,4,4,5,6,2,2,1,6,4,3,175
189,264,2,21,4,1,5,6,7,3,5,7,5,6,7,6,7,3,6,5,2,5,2,1,4,3,5,3,1,3,3,5,3,2,5,5,6,7,6,6,6,5,5,4,6,6,6,6,5,3,207
191,217,2,29,4,2,3,4,3,4,5,7,3,4,4,3,5,5,3,2,1,2,2,1,3,2,4,4,2,5,4,5,3,2,4,5,4,7,4,5,5,6,5,5,4,3,2,5,3,2,164
192,273,1,42,4,2,2,5,3,3,6,7,2,4,6,6,5,5,5,4,3,3,2,1,4,4,5,5,4,5,5,6,6,5,3,3,2,7,3,4,3,5,5,6,5,5,6,6,5,3,192
193,279,1,11,4,2,6,4,5,3,6,7,3,6,6,6,5,2,6,2,4,2,3,1,4,4,4,6,4,3,3,3,1,2,4,4,4,7,3,6,5,3,5,4,5,5,5,2,4,4,181
194,282,1,30,4,2,3,5,5,7,2,7,5,6,6,7,7,4,2,1,3,1,4,1,1,2,1,4,3,1,1,1,1,1,3,3,3,7,3,3,2,2,3,3,4,5,5,7,5,3,153
195,240,2,26,4,2,2,2,2,2,7,7,1,6,6,6,6,6,2,2,2,2,2,1,2,1,5,5,4,7,5,7,6,7,2,2,2,7,2,2,2,6,6,7,2,2,2,6,7,2,172
196,306,2,32,4,2,5,3,5,3,6,7,4,2,3,1,4,3,6,1,6,2,5,1,1,4,1,5,2,2,1,2,1,1,1,3,1,7,5,6,5,3,2,3,5,6,5,2,3,2,146
197,249,2,32,4,2,4,4,5,3,5,7,3,5,5,4,6,4,3,3,1,4,2,1,3,2,4,1,3,5,5,6,5,5,4,4,4,7,5,5,5,6,5,6,3,3,3,5,3,3,179
198,476,2,30,4,2,4,3,4,3,5,7,3,5,5,4,5,4,2,2,1,4,3,1,1,1,4,2,2,4,4,5,5,2,3,3,3,7,4,4,5,5,6,6,4,3,3,5,3,3,162
199,672,2,31,2,2,4,5,6,3,4,7,5,6,4,4,3,3,2,3,3,4,3,1,2,2,3,1,3,2,3,4,4,1,5,5,6,7,4,4,4,5,6,5,4,5,4,4,5,5,173
200,512,2,23,4,1,4,5,5,4,4,7,3,4,5,5,3,2,5,3,2,4,4,1,2,2,4,4,3,3,3,4,3,2,4,4,3,7,3,3,3,5,5,5,4,4,4,5,4,4,167
201,469,2,36,3,2,5,7,6,5,3,7,7,6,5,5,6,2,2,6,3,7,3,1,5,6,7,2,5,6,5,6,6,7,3,2,1,7,6,5,5,7,7,5,2,1,2,3,2,6,205
202,643,2,28,3,2,6,7,6,6,1,7,5,6,4,1,4,5,5,1,1,1,4,1,2,1,1,1,1,2,1,6,5,1,5,6,1,7,4,2,2,6,7,5,1,1,4,6,6,1,156
203,619,2,38,4,2,3,2,4,3,6,7,3,5,3,2,5,6,3,1,3,2,3,1,3,2,3,2,1,5,4,5,6,3,2,1,2,7,3,3,2,5,6,7,3,2,1,6,5,2,153
204,869,2,28,4,2,6,7,6,7,6,7,6,5,6,7,6,7,6,7,6,7,6,1,6,7,6,7,6,6,7,6,7,6,3,4,4,7,2,3,4,6,7,6,7,2,4,6,4,4,246
